"plantID","accession","plantnum_experiment","parent_experiment","Parent1","Parent2","treatment","experiment","meta.experiment","facility"
138,"SALK_127261C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
139,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
140,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
141,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
142,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
143,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
144,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
145,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
146,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
148,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
149,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
150,"SALK_059835C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
151,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
152,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
153,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
154,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
155,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
156,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
157,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
158,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
159,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
160,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
161,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
162,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
163,"SALK_054680C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
164,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
165,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
166,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
167,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
168,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
169,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
170,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
171,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
172,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
173,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
174,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
175,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
176,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
177,"SALK_094332C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
178,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
179,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
180,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
181,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
182,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
183,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
184,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
185,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
186,"SALK_129274C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
187,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
188,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
189,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
190,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
191,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
192,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
193,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
194,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
195,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
196,"SALK_063976C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
197,"SALK_148182C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
198,"SALK_148182C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
199,"SALK_148182C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
200,"SALK_148182C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
201,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
202,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
203,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
204,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
205,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
206,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
207,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
208,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
209,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
210,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
211,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
212,"SALK_004073C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
213,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
214,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
215,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
216,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
217,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
218,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
219,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
220,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
221,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
222,"SALK_018248C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
223,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
224,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
225,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
226,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
227,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
228,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
229,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
230,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
231,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
232,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
233,"SALK_001014C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
234,"SALK_002098C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
235,"SALK_002098C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
236,"SALK_002098C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
237,"SALK_002098C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
238,"SALK_002098C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
239,"SALK_002098C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
240,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
241,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
242,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
243,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
244,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
246,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
247,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
248,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
249,"SALK_104701C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
250,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
251,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
252,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
253,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
254,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
255,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
256,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
257,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
258,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
259,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
260,"SALK_000234C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
261,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
262,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
263,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
264,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
266,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
267,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
268,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
269,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
270,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
271,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
272,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
273,"SALK_004048C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
274,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
275,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
276,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
277,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
278,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
279,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
280,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
281,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
282,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
283,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
284,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
285,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
286,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
287,"SALK_115125C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
288,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
289,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
290,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
291,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
292,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
293,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
294,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
295,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
296,"SALK_121097C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
297,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
298,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
299,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
300,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
301,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
302,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
303,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
304,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
305,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
306,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
307,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
308,"SALK_008986C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
309,"SALK_057747C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
311,"SALK_057747C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
312,"SALK_057747C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
313,"SALK_057747C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
314,"SALK_057747C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
315,"SALK_057747C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
316,"SALK_057747C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
317,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
318,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
319,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
320,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
321,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
322,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
323,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
324,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
325,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
326,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
327,"SALK_008924C",NA,NA,0,0,"control","cofc-first","first","COFC-OGH"
