"idIndividualPlant","Facility_idFacility","Experiment_idExperiment","Accession_idAccession","Parent1","Parent2","plantnum_experiment","comment","parent_experiment"
252,1,1,"SALK_000234C",0,0,NA,NA,NA
253,1,1,"SALK_000234C",0,0,NA,NA,NA
254,1,1,"SALK_000234C",0,0,NA,NA,NA
255,1,1,"SALK_000234C",0,0,NA,NA,NA
256,1,1,"SALK_000234C",0,0,NA,NA,NA
257,1,1,"SALK_000234C",0,0,NA,NA,NA
258,1,1,"SALK_000234C",0,0,NA,NA,NA
259,1,1,"SALK_000234C",0,0,NA,NA,NA
260,1,1,"SALK_000234C",0,0,NA,NA,NA
261,1,1,"SALK_004048C",0,0,NA,NA,NA
262,1,1,"SALK_004048C",0,0,NA,NA,NA
263,1,1,"SALK_004048C",0,0,NA,NA,NA
264,1,1,"SALK_004048C",0,0,NA,NA,NA
266,1,1,"SALK_004048C",0,0,NA,NA,NA
267,1,1,"SALK_004048C",0,0,NA,NA,NA
268,1,1,"SALK_004048C",0,0,NA,NA,NA
269,1,1,"SALK_004048C",0,0,NA,NA,NA
270,1,1,"SALK_004048C",0,0,NA,NA,NA
271,1,1,"SALK_004048C",0,0,NA,NA,NA
272,1,1,"SALK_004048C",0,0,NA,NA,NA
273,1,1,"SALK_004048C",0,0,NA,NA,NA
274,1,1,"SALK_115125C",0,0,NA,NA,NA
275,1,1,"SALK_115125C",0,0,NA,NA,NA
276,1,1,"SALK_115125C",0,0,NA,NA,NA
277,1,1,"SALK_115125C",0,0,NA,NA,NA
278,1,1,"SALK_115125C",0,0,NA,NA,NA
279,1,1,"SALK_115125C",0,0,NA,NA,NA
280,1,1,"SALK_115125C",0,0,NA,NA,NA
281,1,1,"SALK_115125C",0,0,NA,NA,NA
282,1,1,"SALK_115125C",0,0,NA,NA,NA
283,1,1,"SALK_115125C",0,0,NA,NA,NA
284,1,1,"SALK_115125C",0,0,NA,NA,NA
285,1,1,"SALK_115125C",0,0,NA,NA,NA
286,1,1,"SALK_115125C",0,0,NA,NA,NA
287,1,1,"SALK_115125C",0,0,NA,NA,NA
288,1,1,"SALK_121097C",0,0,NA,NA,NA
289,1,1,"SALK_121097C",0,0,NA,NA,NA
290,1,1,"SALK_121097C",0,0,NA,NA,NA
291,1,1,"SALK_121097C",0,0,NA,NA,NA
292,1,1,"SALK_121097C",0,0,NA,NA,NA
293,1,1,"SALK_121097C",0,0,NA,NA,NA
294,1,1,"SALK_121097C",0,0,NA,NA,NA
295,1,1,"SALK_121097C",0,0,NA,NA,NA
296,1,1,"SALK_121097C",0,0,NA,NA,NA
297,1,1,"SALK_008986C",0,0,NA,NA,NA
298,1,1,"SALK_008986C",0,0,NA,NA,NA
299,1,1,"SALK_008986C",0,0,NA,NA,NA
300,1,1,"SALK_008986C",0,0,NA,NA,NA
301,1,1,"SALK_008986C",0,0,NA,NA,NA
302,1,1,"SALK_008986C",0,0,NA,NA,NA
303,1,1,"SALK_008986C",0,0,NA,NA,NA
304,1,1,"SALK_008986C",0,0,NA,NA,NA
305,1,1,"SALK_008986C",0,0,NA,NA,NA
306,1,1,"SALK_008986C",0,0,NA,NA,NA
307,1,1,"SALK_008986C",0,0,NA,NA,NA
308,1,1,"SALK_008986C",0,0,NA,NA,NA
309,1,1,"SALK_057747C",0,0,NA,NA,NA
311,1,1,"SALK_057747C",0,0,NA,NA,NA
312,1,1,"SALK_057747C",0,0,NA,NA,NA
313,1,1,"SALK_057747C",0,0,NA,NA,NA
314,1,1,"SALK_057747C",0,0,NA,NA,NA
315,1,1,"SALK_057747C",0,0,NA,NA,NA
316,1,1,"SALK_057747C",0,0,NA,NA,NA
317,1,1,"SALK_008924C",0,0,NA,NA,NA
318,1,1,"SALK_008924C",0,0,NA,NA,NA
319,1,1,"SALK_008924C",0,0,NA,NA,NA
320,1,1,"SALK_008924C",0,0,NA,NA,NA
321,1,1,"SALK_008924C",0,0,NA,NA,NA
322,1,1,"SALK_008924C",0,0,NA,NA,NA
323,1,1,"SALK_008924C",0,0,NA,NA,NA
324,1,1,"SALK_008924C",0,0,NA,NA,NA
325,1,1,"SALK_008924C",0,0,NA,NA,NA
326,1,1,"SALK_008924C",0,0,NA,NA,NA
327,1,1,"SALK_008924C",0,0,NA,NA,NA
328,1,1,"SALK_150522C",0,0,NA,NA,NA
329,1,1,"SALK_150522C",0,0,NA,NA,NA
